image_id,image_path,relative_path,original_label,class_label,exists,is_valid,width,height,mode,sha256,error,is_exact_duplicate,has_label_conflict,class_index
13071,data/raw/extracted/InfraredSolarModules/images/13071.jpg,images/13071.jpg,No-Anomaly,No-Anomaly,True,True,24,40,L,2a4f5544cafa63587288390507f4682847f81067adc3432d016e78aa2318a1c9,,False,False,0
2318,data/raw/extracted/InfraredSolarModules/images/2318.jpg,images/2318.jpg,Diode,Diode,True,True,24,40,L,85b1f72ac8ee419f8912b7df3bff1d1563dd0099855aa69a95e279be25d5a99f,,False,False,4
15119,data/raw/extracted/InfraredSolarModules/images/15119.jpg,images/15119.jpg,No-Anomaly,No-Anomaly,True,True,24,40,L,1803a3185f60c47d0ce7355c8fb514fcf01468d300b05be08b486cfdf3cd7ce8,,False,False,0
7088,data/raw/extracted/InfraredSolarModules/images/7088.jpg,images/7088.jpg,Cracking,Cracking,True,True,24,40,L,beffd122f893103542a9620ef3b906866540fcdb4866e144c65c72398433de6b,,False,False,3
15345,data/raw/extracted/InfraredSolarModules/images/15345.jpg,images/15345.jpg,No-Anomaly,No-Anomaly,True,True,24,40,L,df7572ff7fc8506e512e12b5eef289ec320ead31e766c9a700633266cfa0d644,,False,False,0
13170,data/raw/extracted/InfraredSolarModules/images/13170.jpg,images/13170.jpg,No-Anomaly,No-Anomaly,True,True,24,40,L,6e7e25c6c05db9bbf90a567a928df7db30441cf5ac0fc12ee89d01fc02fd5345,,False,False,0
15130,data/raw/extracted/InfraredSolarModules/images/15130.jpg,images/15130.jpg,No-Anomaly,No-Anomaly,True,True,24,40,L,ff3887ee2b3bfb30e2af26deb3f19b58dd6cd2053655241aff79a2688fd31655,,False,False,0
2145,data/raw/extracted/InfraredSolarModules/images/2145.jpg,images/2145.jpg,Diode,Diode,True,True,24,40,L,f0f26eb1545ced3fb2b61508a07497b54cb4a5c7a8d262d42339a316bbaf4ab2,,False,False,4
10736,data/raw/extracted/InfraredSolarModules/images/10736.jpg,images/10736.jpg,No-Anomaly,No-Anomaly,True,True,24,40,L,48229d480ed778906c099e70c2a9fa12b995ef182957e6c968d1bf3381979fd7,,False,False,0
9861,data/raw/extracted/InfraredSolarModules/images/9861.jpg,images/9861.jpg,Vegetation,Vegetation,True,True,24,40,L,959c9df7031e7912385e3bc5ee4439567b30abb957ccb45458536265b52a61e6,,False,False,11
9829,data/raw/extracted/InfraredSolarModules/images/9829.jpg,images/9829.jpg,Vegetation,Vegetation,True,True,24,40,L,a5cbf686452ef735ee39b27aa477c3bc82f7908722313af66acd93095bb929f6,,False,False,11
6231,data/raw/extracted/InfraredSolarModules/images/6231.jpg,images/6231.jpg,Cell,Cell,True,True,24,40,L,c2200734240af4a6ee03730b82b585586d0976e18e43bfd578fb241f451fd931,,False,False,1
5042,data/raw/extracted/InfraredSolarModules/images/5042.jpg,images/5042.jpg,Cell,Cell,True,True,24,40,L,feb57d0123fb6aa9e663c950889d00bfd3907471fbd1db16e8914ada9f6c7c36,,False,False,1
16910,data/raw/extracted/InfraredSolarModules/images/16910.jpg,images/16910.jpg,No-Anomaly,No-Anomaly,True,True,24,40,L,9fd9974e39a35ffdcf463d5804c2f5167c184c0154240c626783d63e55747ec1,,False,False,0
13922,data/raw/extracted/InfraredSolarModules/images/13922.jpg,images/13922.jpg,No-Anomaly,No-Anomaly,True,True,24,40,L,af84fc1e5eabdaf9d966e47b504c3f3b059a7a70edef4a41557eea8549050626,,False,False,0
13352,data/raw/extracted/InfraredSolarModules/images/13352.jpg,images/13352.jpg,No-Anomaly,No-Anomaly,True,True,24,40,L,f81fafb1b4dcdd291d1717866a534f48f6752c87d6a33fec4d3c5457b89618ce,,False,False,0
9258,data/raw/extracted/InfraredSolarModules/images/9258.jpg,images/9258.jpg,Vegetation,Vegetation,True,True,24,40,L,3f0bbb688de3f17afbc130e2ed7b4f24915bff6e0dfd385d2e054531923104c6,,False,False,11
9351,data/raw/extracted/InfraredSolarModules/images/9351.jpg,images/9351.jpg,Vegetation,Vegetation,True,True,24,40,L,f231a69e36aa6647afa381aff4839e9208a373b59991f2f44d427963c98f28a4,,False,False,11
2606,data/raw/extracted/InfraredSolarModules/images/2606.jpg,images/2606.jpg,Shadowing,Shadowing,True,True,24,40,L,626e29ad263059586b62eebb47c99d5ebedd13ee4a1e2341d011e80076d99773,,False,False,9
1552,data/raw/extracted/InfraredSolarModules/images/1552.jpg,images/1552.jpg,Diode,Diode,True,True,24,40,L,a9f5657ef19ce0e041b6d0cddaa11159244ba84fe8640f6e6c7868bdf740debd,,False,False,4
5493,data/raw/extracted/InfraredSolarModules/images/5493.jpg,images/5493.jpg,Cell,Cell,True,True,24,40,L,93140df001d0caee0ad69fe922c4539237d6e545130378e4d131ae3ea6ae65dc,,False,False,1
