status,prediction,image,predicted_class,confidence,target_layer,overlay,case_report,error
success,validation_17047_jpg_prediction.json,data/inference_images/validation_17047.jpg,No-Anomaly,1.0,features[-1],results/gradcam/validation_17047_jpg_gradcam_overlay.png,results/gradcam/validation_17047_jpg_case_report.png,
success,validation_19996_jpg_prediction.json,data/inference_images/validation_19996.jpg,No-Anomaly,0.5998064279556274,features[-1],results/gradcam/validation_19996_jpg_gradcam_overlay.png,results/gradcam/validation_19996_jpg_case_report.png,
success,validation_4432_jpg_prediction.json,data/inference_images/validation_4432.jpg,Cell-Multi,0.5984598398208618,features[-1],results/gradcam/validation_4432_jpg_gradcam_overlay.png,results/gradcam/validation_4432_jpg_case_report.png,
success,validation_6150_jpg_prediction.json,data/inference_images/validation_6150.jpg,No-Anomaly,0.5985086560249329,features[-1],results/gradcam/validation_6150_jpg_gradcam_overlay.png,results/gradcam/validation_6150_jpg_case_report.png,
success,validation_6961_jpg_prediction.json,data/inference_images/validation_6961.jpg,Hot-Spot,0.9998801946640015,features[-1],results/gradcam/validation_6961_jpg_gradcam_overlay.png,results/gradcam/validation_6961_jpg_case_report.png,
success,validation_7414_jpg_prediction.json,data/inference_images/validation_7414.jpg,Cracking,0.9999676942825317,features[-1],results/gradcam/validation_7414_jpg_gradcam_overlay.png,results/gradcam/validation_7414_jpg_case_report.png,
success,validation_7770_jpg_prediction.json,data/inference_images/validation_7770.jpg,Cell-Multi,0.5944788455963135,features[-1],results/gradcam/validation_7770_jpg_gradcam_overlay.png,results/gradcam/validation_7770_jpg_case_report.png,
success,validation_8211_jpg_prediction.json,data/inference_images/validation_8211.jpg,Soiling,0.9998537302017212,features[-1],results/gradcam/validation_8211_jpg_gradcam_overlay.png,results/gradcam/validation_8211_jpg_case_report.png,
success,validation_8329_jpg_prediction.json,data/inference_images/validation_8329.jpg,Cell-Multi,0.5921120047569275,features[-1],results/gradcam/validation_8329_jpg_gradcam_overlay.png,results/gradcam/validation_8329_jpg_case_report.png,
success,validation_9054_jpg_prediction.json,data/inference_images/validation_9054.jpg,Vegetation,0.9999969005584717,features[-1],results/gradcam/validation_9054_jpg_gradcam_overlay.png,results/gradcam/validation_9054_jpg_case_report.png,
