epoch,train_loss,train_accuracy,train_macro_f1,train_balanced_accuracy,validation_loss,validation_accuracy,validation_macro_f1,validation_balanced_accuracy,learning_rate,epoch_seconds
1,1.3976940773416828,0.628969957081545,0.25741060115996034,0.27042494633791375,0.9408508882980958,0.7212950600801068,0.3423905083132963,0.344968414710719,0.0001,51.791962699997384
2,0.9153343734481986,0.7267525035765379,0.36053170727696915,0.3607369335427919,0.7797244288256076,0.7616822429906542,0.4343665436037276,0.42201909048057407,0.0001,51.15604969999913
3,0.7875496536365394,0.7555793991416309,0.4429220366926086,0.42403717166301086,0.6840144212000838,0.7913885180240321,0.5347378543232552,0.5195135400292057,0.0001,51.075312299999496
4,0.6941788926486123,0.7785407725321889,0.5223500751335123,0.49588050874590633,0.6201189363273346,0.8044058744993324,0.5793277792826569,0.5620751509171523,0.0001,51.412113400001545
5,0.6240695672826535,0.8010729613733906,0.5890411334861491,0.5617587622307489,0.5930501260808377,0.8144192256341789,0.6372722560546829,0.6120454344038211,0.0001,51.10939700000017
6,0.5694898481021111,0.8175965665236051,0.6396252354461384,0.6102162116914592,0.5400043098885163,0.8304405874499332,0.6717887352940166,0.6600424944265936,0.0001,51.267829500000516
7,0.5180444155469303,0.8364091559370529,0.6774499036513189,0.6503898418219334,0.5348044758804331,0.8311081441922563,0.6897628424868004,0.6850152994649478,0.0001,51.19722439999896
8,0.47371960347984654,0.8442775393419171,0.7082721391942624,0.679930675356912,0.5091337604580002,0.8384512683578104,0.7002337388235066,0.6930782484642832,0.0001,50.69354029999886
9,0.43916495829522184,0.8550071530758226,0.7267000336516011,0.7017421141466874,0.5263131462206668,0.8344459279038718,0.6915401371696337,0.6857286524692684,0.0001,50.85148330000084
10,0.4106407737996275,0.8628755364806867,0.7433344029730907,0.7181023487628818,0.5065832356903677,0.8411214953271028,0.704380524100794,0.706582094315546,0.0001,51.66046880000067
11,0.3800371459284224,0.8726752503576538,0.7604786475012962,0.7371001010668161,0.5095865011056052,0.8404539385847797,0.7077314768161754,0.6991152183615478,0.0001,53.464306800000486
12,0.3547541863075824,0.8792560801144492,0.7725762792395162,0.7504384933599022,0.5009127776119833,0.8461281708945261,0.7145672653525201,0.7110042866911462,0.0001,51.97344769999836
13,0.33157077228733056,0.8886266094420601,0.7878768390052963,0.766676364117889,0.5070317760408323,0.8444592790387183,0.7067306435378194,0.6927601676540274,0.0001,52.614177800001926
