epoch,train_loss,train_accuracy,train_macro_f1,train_balanced_accuracy,validation_loss,validation_accuracy,validation_macro_f1,validation_balanced_accuracy,learning_rate,epoch_seconds
1,1.0096307880035968,0.6894134477825465,0.40969700111110097,0.3830052622198348,0.7825071147987457,0.7419893190921228,0.494713695696326,0.45651924080780965,0.0001,42.85114759999851
2,0.7230626258045136,0.7668097281831188,0.5696689758292027,0.5287076792662603,0.6608639920505885,0.7783711615487316,0.6008722842372691,0.5843022613466037,0.0001,38.911776299999474
3,0.6314903500424605,0.7945636623748211,0.6304525848919992,0.5958164711439269,0.630707518758379,0.8034045393858478,0.6500407789308349,0.6542212737107068,0.0001,39.556957200002216
4,0.5669124573767611,0.8145922746781116,0.6652254862124674,0.6328386584910547,0.5915283078504341,0.812082777036048,0.6592909900486087,0.643995832818763,0.0001,40.096857000000455
5,0.5160771065344968,0.8294706723891273,0.6958034803689056,0.6659862162196712,0.558733869140075,0.8274365821094793,0.6834129142145926,0.661263820400399,0.0001,39.266728700000385
6,0.4599375710893257,0.8467095851216023,0.729567452725973,0.7014193584759313,0.5667225393020263,0.8170894526034713,0.650108212305941,0.629342615535128,0.0001,40.24437719999696
7,0.42896639704704287,0.8532188841201717,0.7361789973417142,0.7110685660116193,0.5493077256571307,0.8227636849132176,0.6677076027525448,0.6497483120290274,0.0001,39.97872289999941
8,0.4006902323771956,0.861516452074392,0.7485286870532235,0.7265762849429865,0.5524992475681534,0.8311081441922563,0.6828380485675335,0.6653191569355622,0.0001,39.96015900000202
9,0.35055355311974945,0.8824034334763948,0.7971267882180605,0.7760685691034602,0.5665436118880961,0.8087449933244326,0.6570186323343331,0.649488621672915,0.0001,39.82690469999943
10,0.33982085571098053,0.8790414878397711,0.7910607810003646,0.7687933704156303,0.49888167513387704,0.842456608811749,0.696111682209371,0.6727087330309357,0.0001,40.18421830000079
11,0.2932267234901843,0.8986409155937053,0.8262519114640835,0.8087489042914645,0.6142955202763485,0.8184245660881175,0.657438482381398,0.6523234436699544,0.0001,39.5909367000022
12,0.27581144850567857,0.9026466380543634,0.8403758976380549,0.8223255792300047,0.5577035963296572,0.8307743658210948,0.6914087667368563,0.6697958440787817,0.0001,40.63583440000002
13,0.24883114722409475,0.9137339055793992,0.8569149675768416,0.8422956345619639,0.5652265844739804,0.828437917222964,0.6676345877401183,0.6374009387513405,0.0001,40.35218950000126
14,0.21286425112569451,0.9244635193133047,0.8777962753515834,0.8664550998543529,0.5755411949113151,0.8261014686248331,0.7013286445355633,0.6928563410428118,0.0001,39.77911170000152
15,0.1994069354472754,0.9301144492131617,0.8894226672169677,0.8766607942121247,0.5643309700154813,0.8334445927903872,0.6892475221930822,0.6868089927796223,0.0001,39.40234839999903
16,0.18580156472193154,0.9349785407725322,0.8975040682086651,0.8869717598410974,0.6052639747016102,0.8244325767690254,0.6749463394354963,0.6586919049648589,0.0001,39.452038399998855
17,0.17463522932688055,0.9396280400572246,0.9051543701268104,0.8966944655585339,0.6079943589120108,0.8327770360480641,0.6871298883084352,0.6761053891967063,0.0001,39.43696310000087
18,0.14771941777036254,0.9476394849785408,0.913020007076942,0.9047793208299307,0.5986682673162708,0.8337783711615487,0.6999883224264775,0.6921445340919031,0.0001,39.0863317000003
19,0.14213389281252764,0.9509298998569384,0.9167438453138446,0.9114845131614447,0.7101019343164798,0.8240987983978638,0.6944923356966068,0.7002386853630304,0.0001,39.07854100000259
20,0.14683464798911106,0.9489985693848355,0.9195515610869118,0.9124103799589847,0.6391947815351398,0.8331108144192256,0.6874028490564651,0.670899846041053,0.0001,39.39079750000019
21,0.11728361450849856,0.959799713876967,0.9322541262558781,0.9256035617408004,0.7035673027522414,0.822429906542056,0.6889687828723104,0.6627622453889924,0.0001,39.47207359999811
22,0.10823386988158902,0.9635193133047211,0.9435363951417104,0.939407937814869,0.6843202625002179,0.8307743658210948,0.6997314902658589,0.6844483443432433,0.0001,39.59114839999893
