epoch,train_loss,train_accuracy,train_macro_f1,train_balanced_accuracy,validation_loss,validation_accuracy,validation_macro_f1,validation_balanced_accuracy,learning_rate,epoch_seconds
1,1.5055756996970662,0.48125894134477826,0.30360857919212253,0.3694718656572779,0.9914935951398435,0.6702269692923899,0.4825949335740811,0.5531021949874968,0.0001,53.0827704000003
2,0.9343488243857508,0.64241773962804,0.4832391886199014,0.5669140104147287,0.7256248777157792,0.7066088117489987,0.577832432514683,0.632754564949779,0.0001,52.65611400000125
3,0.7420175480399179,0.673032904148784,0.534952256293848,0.6193836915069845,0.6571969203700688,0.7253004005340454,0.573079026065288,0.6567853783189761,0.0001,52.395206599998346
4,0.6422991824934582,0.6922746781115879,0.5591973477107454,0.6445589605430441,0.6115261647745828,0.7319759679572764,0.589515242187551,0.652381068293337,0.0001,52.452597700001206
5,0.5655758009789157,0.7163090128755365,0.5983950296277117,0.6805395136080482,0.5752424426247503,0.7449933244325768,0.6188960114966168,0.6860774057551913,0.0001,51.899648999999044
6,0.48937277826287373,0.7356223175965665,0.6255640866783506,0.7117396688199823,0.5285313031940817,0.7289719626168224,0.6214701382655724,0.685763208422451,0.0001,51.71534189999875
7,0.4619795122712808,0.746137339055794,0.6383280860031356,0.7218309945466954,0.5217473301613761,0.7436582109479306,0.6274577229209417,0.7039972485734758,0.0001,52.26382770000055
8,0.4162828815341507,0.763662374821173,0.6641405707457692,0.7469410924612405,0.4994615152458323,0.7543391188251002,0.6413213621125194,0.7072655751916758,0.0001,52.39842560000034
9,0.37478653410814694,0.7782546494992847,0.6852278376734492,0.7659121391352882,0.5105416637873936,0.7693591455273698,0.6482116573194835,0.7154044334535258,0.0001,52.01437100000112
10,0.3405784408720437,0.788555078683834,0.7056820503599243,0.7779179274350825,0.5044930399419151,0.7823765020026703,0.6466972463527662,0.7168374826528311,0.0001,52.198920499999076
11,0.3143305597898786,0.8037911301859799,0.71908137387309,0.7929896838108621,0.5281758834427603,0.7823765020026703,0.6428482984120508,0.6987399753892118,0.0001,51.64106079999692
